,Smiles,MW,LogP,NumHDonors,NumHAcceptors
89,COC(=O)C(=N)/C=C(\O)c1cccc(Br)c1,284.10900000000004,2.54077,2,4
90,O=C(Nc1cc(Cl)ccc1O)c1cn(Cc2ccccc2C(F)(F)F)nn1,396.75600000000003,3.956500000000001,2,5
91,O=C(NCc1ccc(F)cc1)c1cc(S(=O)(=O)N2CCCCC2)c[nH]1,365.4300000000002,2.2584,2,3
92,COC(=O)c1cc(I)c(-n2cccc2)c(I)c1O,469.016,3.1787000000000014,1,4
93,CC1CN(c2ccc(C#N)c(C(F)(F)F)c2)C(C)CN1C(=O)Nc1ccc(C(F)(F)F)nc1,471.4050000000001,5.121980000000003,1,4
94,C=C1C(O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@]42OO3,282.33599999999996,2.1068,1,5
95,O=C1N/C(=C/c2cccs2)C(=O)N1Cc1ccc(Br)cc1,363.236,3.603500000000002,1,3
96,CCCn1cnc2c(NCCCCCCO)nc(Cl)nc21,311.81699999999995,2.8543000000000016,2,6
97,Cc1nc2c(-c3cccs3)c(C)nn2c(NCCO)c1C,302.403,2.7872600000000007,2,6
98,O=C(NCCn1ccnc1-c1ncccn1)NCc1cccs1,328.40100000000007,1.9009999999999998,2,6
99,Cc1c(NC2CC2)nc(C2CC2)nc1N1CC2CCC(C2)C1,298.4340000000001,3.4730200000000027,1,4
100,CCCCN1CCC(COC(=O)c2cccc3[nH]cnc23)CC1,315.4170000000001,3.2318000000000016,1,4
101,O=C(NO)c1cn(Cc2cccc(Cl)c2)c2ccc([N+](=O)[O-])cc2c1=O,373.7520000000002,2.7304000000000013,2,6
102,Cc1cccc(N2CCc3c2nc2ccc(Br)cc2c3N)c1.Cl,390.71200000000005,5.0039200000000035,1,3
103,CCCCS(=O)(=O)N1CCC(C(=O)NC(C)(C)C(=O)NCC2CCCC2)CC1,415.6000000000003,2.0295,2,4
104,NC(=O)c1ccc(F)c2c1CC(N(CCCCn1ccc3c(F)cccc31)C1CCC1)CO2,453.5330000000002,4.656800000000004,1,4
