,Activity_ID,Quality,source,CID,SMILES,SMILES_Murcko,ligandtype,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD,database
109,DQXWKJJFDWTHFG_on_P41597_WT,High,ChEMBL30;ExCAPE-DB,CHEMBL1170801;49798399,O=C(O)c1c(Oc2ncccc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cccc1,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,allosteric,DQXWKJJFDWTHFG,DQXWKJJFDWTHFG-UHFFFAOYSA-N,"InChI=1S/C18H12Cl2N2O5S/c19-13-8-7-11(10-14(13)20)28(25,26)22-15-5-3-9-21-17(15)27-16-6-2-1-4-12(16)18(23)24/h1-10,22H,(H,23,24)","""AuxInfo=1/1/N:27,26,10,28,11,25,18,19,9,24,17,4,20,22,12,5,7,2,21,23,8,13,1,3,15,16,6,14/E:(23,24)(25,26)/CRV:28.6/rA:28OCOCCOCNCCCCNSOOCCCCClCClCCCCC/rB:d1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s7d11;s12;s13;d14;d14;s14;d17;s18;d19;s20;s20;s22;s17d22;s5;d25;s26;s4d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375;PubChemAID:489703,PMID:20627722,2010.0,PMID:20627722;PubChemAID:489703,2010,0.0,0.0,0,1;0,0;1,,=,  7.500;  7.500,7.5,0.0,0.0,2.0,7.5,0.0,papyrus
110,MKCDZUGYALTJNA_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207093,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)s1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1cccs1,allosteric,MKCDZUGYALTJNA,MKCDZUGYALTJNA-UHFFFAOYSA-N,"InChI=1S/C13H10Cl2N4O2S2/c14-10-2-1-9(8-19-6-5-16-18-19)11(7-10)17-23(20,21)13-4-3-12(15)22-13/h1-7,17H,8H2","""AuxInfo=1/0/N:10,9,20,19,15,14,6,12,11,7,5,21,18,8,22,16,4,17,13,1,3,23,2/E:(20,21)/CRV:23.6/rA:23OSONCCCClCCCCNCCNNCCCCClS/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s18s21;/rC:;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.300,7.3,0.0,0.0,1.0,7.3,0.0,papyrus
113,UJVMKYVBFDLEFW_on_P41597_WT,High,ExCAPE-DB;ChEMBL30,49798323;CHEMBL1171760,O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,UJVMKYVBFDLEFW,UJVMKYVBFDLEFW-UHFFFAOYSA-N,"InChI=1S/C19H13Cl2NO5S/c20-12-5-8-14(9-6-12)28(25,26)22-16-11-13(21)7-10-18(16)27-17-4-2-1-3-15(17)19(23)24/h1-11,22H,(H,23,24)","""AuxInfo=1/1/N:6,7,5,8,24,27,13,23,28,12,16,25,14,22,4,17,9,11,2,26,15,18,1,3,20,21,10,19/E:(5,6)(8,9)(23,24)(25,26)/CRV:28.6/rA:28OCOCCCCCCOCCCCClCCNSOOCCCCClCC/rB:d1;s2;s2;d4;s5;d6;s7;s4d8;s9;s10;d11;s12;d13;s14;s14;s11d16;s17;s18;d19;d19;s19;d22;s23;d24;s25;s25;s22d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,PubChemAID:489703;CHEMBL1174375,PMID:20627722,2010.0,PubChemAID:489703;PMID:20627722,2010,0.0,0.0,0,0;1,1;0,,=,  7.700;  7.700,7.7,0.0,0.0,2.0,7.7,0.0,papyrus
114,LBRSBMPJWFLCEE_on_P41597_WT,High,ChEMBL30,CHEMBL1169652,N#Cc1cc(NS(=O)(=O)c2ccc(Cl)cc2)c(Oc2ccccc2C(=O)O)cc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,LBRSBMPJWFLCEE,LBRSBMPJWFLCEE-UHFFFAOYSA-N,"InChI=1S/C20H13ClN2O5S/c21-14-6-8-15(9-7-14)29(26,27)23-17-11-13(12-22)5-10-19(17)28-18-4-2-1-3-16(18)20(24)25/h1-11,23H,(H,24,25)","""AuxInfo=1/1/N:22,21,23,20,29,12,15,11,16,28,4,2,3,13,10,24,5,19,17,25,14,1,6,26,27,8,9,18,7/E:(6,7)(8,9)(24,25)(26,27)/CRV:29.6/rA:29NCCCCNSOOCCCCClCCCOCCCCCCCOOCC/rB:t1;s2;d3;s4;s5;s6;d7;d7;s7;d10;s11;d12;s13;s13;s10d15;d5;s17;s18;d19;s20;d21;s22;s19d23;s24;d25;s25;s17;s3d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  7.200,7.2,0.0,0.0,1.0,7.2,0.0,papyrus
115,BCZPRYJTVRIOOL_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207090,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(F)c1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,BCZPRYJTVRIOOL,BCZPRYJTVRIOOL-UHFFFAOYSA-N,"InChI=1S/C15H12ClFN4O2S/c16-12-5-4-11(10-21-7-6-18-20-21)15(8-12)19-24(22,23)14-3-1-2-13(17)9-14/h1-9,19H,10H2","""AuxInfo=1/0/N:20,21,19,10,9,15,14,6,24,12,11,7,22,18,5,8,23,16,4,17,13,1,3,2/E:(22,23)/CRV:24.6/rA:24OSONCCCClCCCCNCCNNCCCCCFC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s22;s18d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.000,7.0,0.0,0.0,1.0,7.0,0.0,papyrus
116,,,ChEMBL30,CHEMBL4483373,Nc1nc2[nH]c(C3CC3)c(Cc3ccc(Cl)c(Cl)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,BXZCHELXYNXCDS-UHFFFAOYSA-N,"InChI=1S/C15H13Cl2N5O/c16-10-4-1-7(6-11(10)17)5-9-12(8-2-3-8)19-15-20-14(18)21-22(15)13(9)23/h1,4,6,8H,2-3,5H2,(H3,18,19,20,21)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,9.35,,,,,,ChEMBL30_2019_22
121,,,ChEMBL30,CHEMBL4545333,Nc1nc2[nH]c(-c3ccccc3)c(Cc3cccc(Cl)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(-c2ccccc2)[nH]c2ncnn12,allosteric,,NNHSBDAUBQXNBD-UHFFFAOYSA-N,"InChI=1S/C18H14ClN5O/c19-13-8-4-5-11(9-13)10-14-15(12-6-2-1-3-7-12)21-18-22-17(20)23-24(18)16(14)25/h1-9H,10H2,(H3,20,21,22,23)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.64,,,,,,ChEMBL30_2019_22
122,BXBNKMPGOBWZGN_on_P41597_WT,High,ChEMBL30,CHEMBL3751958,Cc1c(Cl)ccc(C2(C)CC(C)CC=C2C(=O)O)c1,C1=CC(c2ccccc2)CCC1,allosteric,BXBNKMPGOBWZGN,BXBNKMPGOBWZGN-UHFFFAOYSA-N,"InChI=1S/C16H19ClO2/c1-10-4-6-13(15(18)19)16(3,9-10)12-5-7-14(17)11(2)8-12/h5-8,10H,4,9H2,1-3H3,(H,18,19)","""AuxInfo=1/1/N:12,1,9,13,6,14,5,19,10,11,2,7,15,3,16,8,4,17,18/E:(18,19)/rA:19CCCClCCCCCCCCCCCCOOC/rB:s1;d2;s3;s3;d5;s6;s7;s8;s8;s10;s11;s11;s13;s8w?14;s15;d16;s16;s2d7;/rC:;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL3758041,PMID:26631321,2016.0,PMID:26631321,2016,1.0,0.0,0,0,0,,=,  7.160,7.16,0.0,0.0,1.0,7.16,0.0,papyrus
124,,,ChEMBL30,CHEMBL4447263,Cc1ccccc1Cc1c(C2CC2)[nH]c2nc(N)nn2c1=O,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,ZOGSCXVWJLKQJR-UHFFFAOYSA-N,"InChI=1S/C16H17N5O/c1-9-4-2-3-5-11(9)8-12-13(10-6-7-10)18-16-19-15(17)20-21(16)14(12)22/h2-5,10H,6-8H2,1H3,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,7.81,,,,,,ChEMBL30_2019_22
125,FMMGEWPMVFMHDR_on_P41597_WT,High,ChEMBL30,CHEMBL1924016,COc1cc(Oc2ccc(C(=O)NCCN3CCCCC3)cc2)c(NS(=O)(=O)c2cc(C(F)(F)F)c(Cl)cc2)cc1Cl,O=C(NCCN1CCCCC1)c1ccc(Oc2ccccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,FMMGEWPMVFMHDR,FMMGEWPMVFMHDR-UHFFFAOYSA-N,"InChI=1S/C28H28Cl2F3N3O5S/c1-40-25-17-26(41-19-7-5-18(6-8-19)27(37)34-11-14-36-12-3-2-4-13-36)24(16-23(25)30)35-42(38,39)20-9-10-22(29)21(15-20)28(31,32)33/h5-10,15-17,35H,2-4,11-14H2,1H3,(H,34,37)","""AuxInfo=1/1/N:1,19,18,20,9,22,8,23,39,38,14,17,21,15,30,40,4,10,7,29,31,36,41,24,3,5,11,32,37,42,33,34,35,13,25,16,12,27,28,2,6,26/E:(3,4)(5,6)(7,8)(12,13)(31,32,33)(38,39)/CRV:42.6/rA:42COCCCOCCCCCONCCNCCCCCCCCNSOOCCCCFFFCClCCCCCl/rB:s1;s2;d3;s4;s5;s6;d7;s8;d9;s10;d11;s11;s13;s14;s15;s16;s17;s18;s19;s16s20;s10;s7d22;d5;s24;s25;d26;d26;s26;d29;s30;s31;s32;s32;s32;d31;s36;s36;s29d38;s24;s3d40;s41;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1925695;CHEMBL1925747,PMID:22047688,2011.0,PMID:22047688,2011,0.0,0.0,0;1,1;0,0,,=,  8.000;  6.400,7.2,0.8,0.8,2.0,7.2,0.8,papyrus
126,LEZFXNWLSJUDTJ_on_P41597_WT,High,ChEMBL30;ExCAPE-DB,CHEMBL1169653;49798292,O=C(O)c1c(Oc2ccc(F)cc2NS(=O)(=O)c2ccc(Cl)cc2)cccc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,LEZFXNWLSJUDTJ,LEZFXNWLSJUDTJ-UHFFFAOYSA-N,"InChI=1S/C19H13ClFNO5S/c20-12-5-8-14(9-6-12)28(25,26)22-16-11-13(21)7-10-18(16)27-17-4-2-1-3-15(17)19(23)24/h1-11,22H,(H,23,24)","""AuxInfo=1/1/N:27,26,28,25,20,23,9,19,24,8,12,21,10,18,4,13,5,7,2,22,11,14,1,3,16,17,6,15/E:(5,6)(8,9)(23,24)(25,26)/CRV:28.6/rA:28OCOCCOCCCCFCCNSOOCCCCClCCCCCC/rB:d1;s2;s2;d4;s5;s6;d7;s8;d9;s10;s10;s7d12;s13;s14;d15;d15;s15;d18;s19;d20;s21;s21;s18d23;s5;d25;s26;s4d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375;PubChemAID:489703,PMID:20627722,2010.0,PMID:20627722;PubChemAID:489703,2010,0.0,0.0,0,1;0,0;1,,=,  7.400;  7.400,7.4,0.0,0.0,2.0,7.4,0.0,papyrus
129,,,ChEMBL30,CHEMBL4438407,Nc1nc2[nH]c(C3CCCC3)c(Cc3cccc(Cl)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CCCC2)[nH]c2ncnn12,allosteric,,SSYDLAOTEQIPAM-UHFFFAOYSA-N,"InChI=1S/C17H18ClN5O/c18-12-7-3-4-10(8-12)9-13-14(11-5-1-2-6-11)20-17-21-16(19)22-23(17)15(13)24/h3-4,7-8,11H,1-2,5-6,9H2,(H3,19,20,21,22)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.81,,,,,,ChEMBL30_2019_22
133,VIQJVXBTZHDTPO_on_P41597_WT,High,ChEMBL30,CHEMBL1171011,O=C(O)c1cc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cnc1,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,allosteric,VIQJVXBTZHDTPO,VIQJVXBTZHDTPO-UHFFFAOYSA-N,"InChI=1S/C17H10Cl3N3O5S/c18-10-4-15(23-29(26,27)12-1-2-13(19)14(20)5-12)16(22-7-10)28-11-3-9(17(24)25)6-21-8-11/h1-8,23H,(H,24,25)","""AuxInfo=1/1/N:20,21,5,13,26,29,10,27,4,11,6,19,22,24,14,8,2,12,23,25,28,9,15,1,3,17,18,7,16/E:(24,25)(26,27)/CRV:29.6/rA:29OCOCCCOCNCCClCCNSOOCCCCClCClCCNC/rB:d1;s2;s2;d4;s5;s6;s7;d8;s9;d10;s11;s11;s8d13;s14;s15;d16;d16;s16;d19;s20;d21;s22;s22;s24;s19d24;d6;s27;s4d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  8.000,8.0,0.0,0.0,1.0,8.0,0.0,papyrus
134,AGJAKUVKWSUXBI_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207082,O=S(=O)(Nc1cc(Cl)ccc1Cn1cnnc1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cn1cnnc1)c1ccccc1,allosteric,AGJAKUVKWSUXBI,AGJAKUVKWSUXBI-UHFFFAOYSA-N,"InChI=1S/C15H11Cl3N4O2S/c16-11-2-1-10(7-22-8-19-20-9-22)15(5-11)21-25(23,24)12-3-4-13(17)14(18)6-12/h1-6,8-9,21H,7H2","""AuxInfo=1/0/N:10,9,19,20,6,25,12,14,17,11,7,18,21,23,5,8,22,24,15,16,4,13,1,3,2/E:(8,9)(19,20)(23,24)/CRV:25.6/rA:25OSONCCCClCCCCNCNNCCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s21;s23;s18d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  8.000,8.0,0.0,0.0,1.0,8.0,0.0,papyrus
135,JDTIJKSABSGJEM_on_P41597_WT,High,ChEMBL30,CHEMBL2207084,Cc1nnnn1Cc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cn1cnnn1)c1ccccc1,allosteric,JDTIJKSABSGJEM,JDTIJKSABSGJEM-UHFFFAOYSA-N,"InChI=1S/C15H12Cl3N5O2S/c1-9-19-21-22-23(9)8-10-2-3-11(16)6-15(10)20-26(24,25)12-4-5-13(17)14(18)7-12/h2-7,20H,8H2,1H3","""AuxInfo=1/0/N:1,9,10,20,21,13,26,7,2,8,11,19,22,24,14,12,23,25,3,15,4,5,6,17,18,16/E:(24,25)/CRV:26.6/rA:26CCNNNNCCCCCClCCNSOOCCCCClCClC/rB:s1;d2;s3;d4;s2s5;s6;s7;d8;s9;d10;s11;s11;s8d13;s14;s15;d16;d16;s16;d19;s20;d21;s22;s22;s24;s19d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213076;CHEMBL2213075,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.100;  7.100,7.1,0.0,0.0,2.0,7.1,0.0,papyrus
137,,,ChEMBL30,CHEMBL4791522,O=C(NCCN=C=S)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccccc1,allosteric,,IAJANXMZOLXCTL-UHFFFAOYSA-N,"InChI=1S/C23H16Cl2F3N3O4S2/c24-15-3-8-21(35-16-4-1-14(2-5-16)22(32)30-10-9-29-13-36)20(11-15)31-37(33,34)17-6-7-19(25)18(12-17)23(26,27)28/h1-8,11-12,31H,9-10H2,(H,30,32)",,P41597,P41597,,,33600174,2021.0,10.1021/acs.jmedchem.0c01137,,,,,,,,,,7.5,,,,,,ChEMBL30_2019_22
140,GMFHGEGAYGJWAD_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207091,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc(C(F)(F)F)c1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,GMFHGEGAYGJWAD,GMFHGEGAYGJWAD-UHFFFAOYSA-N,"InChI=1S/C16H12ClF3N4O2S/c17-13-5-4-11(10-24-7-6-21-23-24)15(9-13)22-27(25,26)14-3-1-2-12(8-14)16(18,19)20/h1-9,22H,10H2","""AuxInfo=1/0/N:20,21,19,10,9,15,14,27,6,12,11,22,7,18,5,23,8,24,25,26,16,4,17,13,1,3,2/E:(18,19,20)(25,26)/CRV:27.6/rA:27OSONCCCClCCCCNCCNNCCCCCCFFFC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s22;s23;s23;s23;s18d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.300,7.3,0.0,0.0,1.0,7.3,0.0,papyrus
144,YHEVMXYWTAZKST_on_P41597_WT,High,ChEMBL30,CHEMBL1169994,O=S(=O)(Nc1cc(Cl)cnc1Oc1cc(Cl)cnc1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,allosteric,YHEVMXYWTAZKST,YHEVMXYWTAZKST-UHFFFAOYSA-N,"InChI=1S/C16H9Cl4N3O3S/c17-9-3-11(8-21-6-9)26-16-15(4-10(18)7-22-16)23-27(24,25)12-1-2-13(19)14(20)5-12/h1-8,23H","""AuxInfo=1/0/N:21,22,14,6,27,17,9,19,15,7,13,20,23,25,5,11,16,8,24,26,18,10,4,1,3,12,2/E:(24,25)/CRV:27.6/rA:27OSONCCCClCNCOCCCClCNCCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;d13;s14;s15;d15;s17;s13d18;s2;d20;s21;d22;s23;s23;s25;s20d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  7.900,7.9,0.0,0.0,1.0,7.9,0.0,papyrus
145,UNODWYJNQAHVAZ_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207087,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)cc1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,UNODWYJNQAHVAZ,UNODWYJNQAHVAZ-UHFFFAOYSA-N,"InChI=1S/C15H12Cl2N4O2S/c16-12-3-5-14(6-4-12)24(22,23)19-15-9-13(17)2-1-11(15)10-21-8-7-18-20-21/h1-9,19H,10H2","""AuxInfo=1/0/N:10,9,20,23,19,24,15,14,6,12,11,21,7,18,5,22,8,16,4,17,13,1,3,2/E:(3,4)(5,6)(22,23)/CRV:24.6/rA:24OSONCCCClCCCCNCCNNCCCCClCC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s21;s18d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.000,7.0,0.0,0.0,1.0,7.0,0.0,papyrus
148,,,ChEMBL30,CHEMBL4567816,Cc1cccc(Cc2c(C3CC3)[nH]c3nc(N)nn3c2=O)c1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,YJQISPMIWAOWOU-UHFFFAOYSA-N,"InChI=1S/C16H17N5O/c1-9-3-2-4-10(7-9)8-12-13(11-5-6-11)18-16-19-15(17)20-21(16)14(12)22/h2-4,7,11H,5-6,8H2,1H3,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.61,,,,,,ChEMBL30_2019_22
150,GQLXQNMFKWOOSD_on_P41597_WT,High,ChEMBL30,CHEMBL1171008,O=C(O)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,allosteric,GQLXQNMFKWOOSD,GQLXQNMFKWOOSD-UHFFFAOYSA-N,"InChI=1S/C18H11Cl3N2O5S/c19-10-7-15(23-29(26,27)11-5-6-13(20)14(21)8-11)17(22-9-10)28-16-4-2-1-3-12(16)18(24)25/h1-9,23H,(H,24,25)","""AuxInfo=1/1/N:6,7,5,8,23,24,16,29,13,14,22,4,25,27,17,9,11,2,15,26,28,12,18,1,3,20,21,10,19/E:(24,25)(26,27)/CRV:29.6/rA:29OCOCCCCCCOCNCCClCCNSOOCCCCClCClC/rB:d1;s2;s2;d4;s5;d6;s7;s4d8;s9;s10;d11;s12;d13;s14;s14;s11d16;s17;s18;d19;d19;s19;d22;s23;d24;s25;s25;s27;s22d27;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  8.900,8.9,0.0,0.0,1.0,8.9,0.0,papyrus
152,MNLVCOBPDKQJKG_on_P41597_WT,High,ChEMBL30,CHEMBL1170827,O=C(O)c1c(F)cccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,allosteric,MNLVCOBPDKQJKG,MNLVCOBPDKQJKG-UHFFFAOYSA-N,"InChI=1S/C18H10Cl3FN2O5S/c19-9-6-14(24-30(27,28)10-4-5-11(20)12(21)7-10)17(23-8-9)29-15-3-1-2-13(22)16(15)18(25)26/h1-8,24H,(H,25,26)","""AuxInfo=1/1/N:8,7,9,24,25,17,30,14,15,23,26,28,5,18,10,4,12,2,16,27,29,6,13,19,1,3,21,22,11,20/E:(25,26)(27,28)/CRV:30.6/rA:30OCOCCFCCCCOCNCCClCCNSOOCCCCClCClC/rB:d1;s2;s2;d4;s5;s5;d7;s8;s4d9;s10;s11;d12;s13;d14;s15;s15;s12d17;s18;s19;d20;d20;s20;d23;s24;d25;s26;s26;s28;s23d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1174375,PMID:20627722,2010.0,PMID:20627722,2010,0.0,0.0,0,1,0,,=,  8.700,8.7,0.0,0.0,1.0,8.7,0.0,papyrus
153,,,ChEMBL30,CHEMBL4471792,Cc1ccc(Cc2c(C3CC3)[nH]c3nc(N)nn3c2=O)cc1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,IHSALFQZDVOKBB-UHFFFAOYSA-N,"InChI=1S/C16H17N5O/c1-9-2-4-10(5-3-9)8-12-13(11-6-7-11)18-16-19-15(17)20-21(16)14(12)22/h2-5,11H,6-8H2,1H3,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.46,,,,,,ChEMBL30_2019_22
157,ZAYWNIIRYMQVOL_on_P41597_WT,High,ChEMBL30,CHEMBL1924005,O=C(NCCN1CCCC1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,O=C(NCCN1CCCC1)c1ccc(Oc2ncccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,ZAYWNIIRYMQVOL,ZAYWNIIRYMQVOL-UHFFFAOYSA-N,"InChI=1S/C24H23Cl3N4O4S/c25-17-13-22(30-36(33,34)19-7-8-20(26)21(27)14-19)24(29-15-17)35-18-5-3-16(4-6-18)23(32)28-9-12-31-10-1-2-11-31/h3-8,13-15,30H,1-2,9-12H2,(H,28,32)","""AuxInfo=1/1/N:8,9,12,36,13,35,28,29,4,7,10,5,21,34,18,11,19,14,27,30,32,22,2,16,20,31,33,3,17,23,6,1,25,26,15,24/E:(1,2)(3,4)(5,6)(10,11)(33,34)/CRV:36.6/rA:36OCNCCNCCCCCCCCOCNCCClCCNSOOCCCCClCClCCC/rB:d1;s2;s3;s4;s5;s6;s7;s8;s6s9;s2;d11;s12;d13;s14;s15;d16;s17;d18;s19;s19;s16d21;s22;s23;d24;d24;s24;d27;s28;d29;s30;s30;s32;s27d32;s14;s11d35;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1925745;CHEMBL1925695,PMID:22047688,2011.0,PMID:22047688,2011,0.0,0.0,0,1,0,,=,  7.200;  7.890,7.545,0.345,0.345,2.0,7.545,0.345,papyrus
160,,,ChEMBL30,CHEMBL4474757,CCCCc1[nH]c2nc(N)nn2c(=O)c1Cc1cccc(Cl)c1,O=c1c(Cc2ccccc2)c[nH]c2ncnn12,allosteric,,COTMDVGGTIZRGD-UHFFFAOYSA-N,"InChI=1S/C16H18ClN5O/c1-2-3-7-13-12(9-10-5-4-6-11(17)8-10)14(23)22-16(19-13)20-15(18)21-22/h4-6,8H,2-3,7,9H2,1H3,(H3,18,19,20,21)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.64,,,,,,ChEMBL30_2019_22
